Prueba,400,600,800,1000,2000,4000,5500,6000,8000
Transpuesta,1.197069,1.202213,1.191171,1.243890,1.409606,4.607136,4.110830,3.888943,3.370751
O3,5.205269,5.522916,4.864275,4.432802,2.701035,1.778007,1.800216,1.769532,1.608453
Hilos 2,1.338665,1.234691,1.291877,1.357105,1.339544,1.709017,1.693954,1.672137,1.623154
Hilos 4,2.478587,2.091907,2.045451,1.923091,2.010925,2.634226,2.567923,2.529744,2.452787
Hilos 8,3.225238,2.984376,2.673965,2.686422,2.821806,4.114557,3.615767,3.598479,3.025192
Hilos 16,3.306066,3.073100,2.977180,3.009254,3.150149,4.178989,3.460995,3.545289,3.059046
Procesos 2,1.870838,1.841865,1.683123,1.661944,1.548566,1.896889,1.840540,1.830604,1.766548
Procesos 4,3.298818,3.180090,2.739232,2.454042,2.301801,2.930047,2.772679,2.814723,2.660932
Procesos 8,3.519045,3.475281,2.631341,2.770925,2.876337,4.314136,3.711833,3.699763,3.074572
Procesos 16,3.756355,3.490123,3.100110,3.113299,3.152093,4.537938,3.594533,3.658083,3.035387
