implementation,n,nsweeps,workers,avg_s,seq_avg_s,speedup,efficiency
seq_mem,10000,15000,1,0.227202,0.304221,1.338989,1.338989
seq_mem,100000,15000,1,2.490720,3.072151,1.233439,1.233439
seq_mem,1000000,15000,1,25.299062,30.849755,1.219403,1.219403
seq_mem,2000000,15000,1,49.876139,61.004513,1.223120,1.223120
seq_mem,4000000,15000,1,99.798638,123.834228,1.240841,1.240841
seq_mem,5000000,15000,1,126.487963,153.930029,1.216954,1.216954
seq_o3,10000,15000,1,0.031999,0.304221,9.507203,9.507203
seq_o3,100000,15000,1,0.376314,3.072151,8.163797,8.163797
seq_o3,1000000,15000,1,8.102955,30.849755,3.807223,3.807223
seq_o3,2000000,15000,1,22.180972,61.004513,2.750308,2.750308
seq_o3,4000000,15000,1,53.015132,123.834228,2.335828,2.335828
seq_o3,5000000,15000,1,70.616727,153.930029,2.179796,2.179796
threads,10000,15000,2,0.204970,0.304221,1.484222,0.742111
threads,10000,15000,4,0.139861,0.304221,2.175167,0.543792
threads,10000,15000,8,0.121770,0.304221,2.498325,0.312291
threads,10000,15000,16,0.138505,0.304221,2.196462,0.137279
threads,100000,15000,2,1.660724,3.072151,1.849887,0.924943
threads,100000,15000,4,0.905721,3.072151,3.391940,0.847985
threads,100000,15000,8,0.578309,3.072151,5.312300,0.664038
threads,100000,15000,16,0.550211,3.072151,5.583587,0.348974
threads,1000000,15000,2,16.332390,30.849755,1.888870,0.944435
threads,1000000,15000,4,8.650216,30.849755,3.566357,0.891589
threads,1000000,15000,8,5.084383,30.849755,6.067551,0.758444
threads,1000000,15000,16,4.600996,30.849755,6.705017,0.419064
threads,2000000,15000,2,32.269448,61.004513,1.890473,0.945236
threads,2000000,15000,4,31.048672,61.004513,1.964803,0.491201
threads,2000000,15000,8,32.005725,61.004513,1.906050,0.238256
threads,2000000,15000,16,34.051906,61.004513,1.791515,0.111970
threads,4000000,15000,2,65.947168,123.834228,1.877779,0.938890
threads,4000000,15000,4,65.482836,123.834228,1.891094,0.472774
threads,4000000,15000,8,68.354937,123.834228,1.811635,0.226454
threads,4000000,15000,16,71.627652,123.834228,1.728861,0.108054
threads,5000000,15000,2,82.125764,153.930029,1.874321,0.937160
threads,5000000,15000,4,82.572356,153.930029,1.864184,0.466046
threads,5000000,15000,8,85.668849,153.930029,1.796803,0.224600
threads,5000000,15000,16,89.508623,153.930029,1.719723,0.107483
